State Code,District Code,Tahsil/ Sub-District Code,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Scheduled Caste - Persons,Scheduled Caste - Males,Scheduled Caste - Females,Scheduled Tribe - Persons,Scheduled Tribe - Males,Scheduled Tribe - Females
27,23,0000,00000000,0,0,DISTRICT,Mumbai,Total,3338031,1878246,1459785,183469,94811,88658,20666,11187,9479
27,23,0000,00000000,0,0,DISTRICT,Mumbai,Rural,0,0,0,0,0,0,0,0,0
27,23,0000,00000000,0,0,DISTRICT,Mumbai,Urban,3338031,1878246,1459785,183469,94811,88658,20666,11187,9479
27,23,0000,42301000,0,0,TOWN,Greater Mumbai (M Corp.) (Part),Urban,3338031,1878246,1459785,183469,94811,88658,20666,11187,9479
27,23,0000,42301000,101,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.101,Urban,98207,57052,41155,3433,1823,1610,833,520,313
27,23,0000,42301000,102,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.102,Urban,36589,19429,17160,1794,912,882,1190,565,625
27,23,0000,42301000,103,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.103,Urban,27019,16368,10651,1257,735,522,508,288,220
27,23,0000,42301000,104,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.104,Urban,15865,9450,6415,801,383,418,14,11,3
27,23,0000,42301000,105,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.105,Urban,33167,19345,13822,1788,907,881,170,90,80
27,23,0000,42301000,206,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.206,Urban,30580,19608,10972,752,465,287,269,130,139
27,23,0000,42301000,207,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.207,Urban,15068,8572,6496,16,10,6,0,0,0
27,23,0000,42301000,208,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.208,Urban,61058,34048,27010,1063,512,551,386,216,170
27,23,0000,42301000,209,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.209,Urban,33927,18827,15100,3494,1648,1846,466,233,233
27,23,0000,42301000,310,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.310,Urban,25140,14493,10647,105,56,49,5,3,2
27,23,0000,42301000,311,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.311,Urban,31882,19630,12252,697,378,319,14,9,5
27,23,0000,42301000,312,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.312,Urban,46413,30005,16408,24,15,9,82,66,16
27,23,0000,42301000,313,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.313,Urban,26080,20600,5480,110,70,40,66,59,7
27,23,0000,42301000,314,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.314,Urban,38253,23272,14981,460,238,222,29,21,8
27,23,0000,42301000,315,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.315,Urban,35154,19901,15253,237,125,112,89,44,45
27,23,0000,42301000,416,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.416,Urban,53315,28779,24536,886,449,437,74,36,38
27,23,0000,42301000,417,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.417,Urban,56134,30486,25648,3780,1885,1895,46,28,18
27,23,0000,42301000,418,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.418,Urban,42240,22520,19720,164,78,86,37,16,21
27,23,0000,42301000,419,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.419,Urban,18776,9751,9025,162,88,74,60,36,24
27,23,0000,42301000,420,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.420,Urban,80109,43289,36820,766,395,371,297,167,130
27,23,0000,42301000,421,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.421,Urban,132267,70634,61633,11983,5959,6024,314,162,152
27,23,0000,42301000,522,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.522,Urban,97726,57537,40189,4010,2180,1830,575,330,245
27,23,0000,42301000,523,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.523,Urban,61477,34277,27200,2376,1176,1200,140,62,78
27,23,0000,42301000,524,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.524,Urban,23425,12401,11024,5125,2526,2599,153,86,67
27,23,0000,42301000,525,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.525,Urban,38164,21064,17100,178,100,78,53,31,22
27,23,0000,42301000,526,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.526,Urban,48485,28775,19710,1995,996,999,311,156,155
27,23,0000,42301000,527,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.527,Urban,171058,96813,74245,5910,2948,2962,272,164,108
27,23,0000,42301000,628,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.628,Urban,114174,61207,52967,4181,2154,2027,398,212,186
27,23,0000,42301000,629,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.629,Urban,186086,104046,82040,4994,2631,2363,1871,962,909
27,23,0000,42301000,630,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.630,Urban,95862,51113,44749,8662,4451,4211,267,154,113
27,23,0000,42301000,731,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.731,Urban,50563,26530,24033,761,415,346,104,64,40
27,23,0000,42301000,732,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.732,Urban,473830,266229,207601,23422,12270,11152,4506,2461,2045
27,23,0000,42301000,835,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.835,Urban,76326,42927,33399,5448,2825,2623,436,245,191
27,23,0000,42301000,836,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.836,Urban,175675,95302,80373,13021,6828,6193,3941,2034,1907
27,23,0000,42301000,837,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.837,Urban,121713,73237,48476,13525,6864,6661,325,202,123
27,23,0000,42301000,838,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.838,Urban,84217,48720,35497,6130,3261,2869,236,130,106
27,23,0000,42301000,933,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.933,Urban,442311,249548,192763,44743,23425,21318,1894,1061,833
27,23,0000,42301000,934,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.934,Urban,82087,41847,40240,847,422,425,118,77,41
27,23,0000,42301000,935,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.935,Urban,57609,30614,26995,4369,2208,2161,117,56,61
